Id;OznKoord;NazKlase;Bio_1;Bio_2;Bio_3;Bio_4;Bio_5;Bio_6;Bio_7;Bio_8;Bio_9;Bio_10;Bio_11;Bio_12;Bio_13;Bio_14;Bio_15;Bio_16;Bio_17;Bio_18;Bio_19;EKSPOZICIJ;NDM__M_;NAGIB_TERE
10325;XY.110087;Fraxinus ornus L.;8,9;9,6;32;71,06;24,9;-4,7;29,6;16,2;1;17,8;-0,6;931;116;54;22;299;167;293;191;195;439;5
10326;XY.110088;Fraxinus ornus L.;8,9;9,7;32;71,05;24,8;-4,8;29,6;16,3;1;17,8;-0,5;932;116;54;22;299;167;293;191;95;358;3
10327;XY.110088;Quercus petraea (Mattuschka) Liebl.;8,9;9,7;32;71,05;24,8;-4,8;29,6;16,3;1;17,8;-0,5;932;116;54;22;299;167;293;191;95;358;3
10328;XY.110089;Fraxinus ornus L.;7,5;9,2;31;70,79;23,2;-5,9;29,1;14,8;-0,4;16,4;-1,8;974;121;57;22;315;175;308;199;134;500;4
10329;XY.110089;Quercus petraea (Mattuschka) Liebl.;7,5;9,2;31;70,79;23,2;-5,9;29,1;14,8;-0,4;16,4;-1,8;974;121;57;22;315;175;308;199;134;500;4
10330;XY.110093;Fraxinus ornus L.;8,9;9,7;32;71,05;24,8;-4,8;29,6;16,3;1;17,8;-0,5;932;116;54;22;299;167;293;191;95;358;3
10331;XY.110093;Quercus petraea (Mattuschka) Liebl.;8,9;9,7;32;71,05;24,8;-4,8;29,6;16,3;1;17,8;-0,5;932;116;54;22;299;167;293;191;95;358;3
10332;XY.110094;Fraxinus ornus L.;8,3;9,5;32;70,88;24,2;-5,3;29,5;15,6;0,4;17,2;-1,1;948;118;56;22;306;170;300;193;101;497;4
10333;XY.110094;Quercus petraea (Mattuschka) Liebl.;8,3;9,5;32;70,88;24,2;-5,3;29,5;15,6;0,4;17,2;-1,1;948;118;56;22;306;170;300;193;101;497;4
10334;XY.110097;Fraxinus ornus L.;8,8;9,6;32;70,99;24,7;-4,9;29,6;16,2;0,9;17,7;-0,6;934;116;54;22;300;167;295;191;163;430;3
10335;XY.110097;Quercus petraea (Mattuschka) Liebl.;8,8;9,6;32;70,99;24,7;-4,9;29,6;16,2;0,9;17,7;-0,6;934;116;54;22;300;167;295;191;163;430;3
10336;XY.110149;Fraxinus ornus L.;13;7,3;29;62,16;26,7;1,9;24,8;9,9;21,1;21,1;5,3;1180;146;66;25;406;222;222;311;82;252;8
10337;XY.110181;Fraxinus ornus L.;13,9;6,9;28;62,73;27,5;3;24,5;14,8;22,1;22,1;6,2;1195;140;71;21;389;245;245;299;189;174;1
10338;XY.110191;Fraxinus ornus L.;13,2;6,4;26;62,92;26,3;2,4;23,9;14,1;5,9;21,3;5,4;1108;128;71;18;350;236;249;258;342;269;3
10339;XY.110200;Fraxinus ornus L.;13,4;6,3;26;63,03;26,4;2,6;23,8;14,4;6,2;21,5;5,5;1080;121;71;16;334;225;256;241;295;159;1
10340;XY.110206;Fraxinus ornus L.;12,9;6,4;26;62,71;25,9;2,1;23,8;13,9;5,6;21;5,1;1117;126;74;17;348;233;261;253;214;328;1
10341;XY.110210;Fraxinus ornus L.;12,8;6,4;26;62,73;25,9;2;23,9;13,7;5,5;20,9;5;1132;128;75;17;354;235;263;256;214;297;1
10342;XY.110216;Fraxinus ornus L.;12,4;7,3;29;62,74;26,3;1,5;24,8;9,2;20,6;20,6;4,7;959;128;45;31;347;159;159;298;352;567;5
10343;XY.110224;Fraxinus ornus L.;6,9;8,8;30;71,97;22,4;-6,8;29,2;16;-1,3;16;-2,6;1056;123;55;24;349;174;349;190;4;644;6
10344;XY.110227;Fraxinus ornus L.;13;7,8;30;63,63;27,3;1,5;25,8;9,7;21,3;21,3;5,1;1384;164;81;25;480;268;268;363;196;222;5
10345;XY.110250;Fraxinus ornus L.;11,2;10,4;32;77,56;28,4;-3,5;31,9;19,1;2,3;20,8;0,9;666;82;41;19;207;131;196;145;357;88;1
10346;XY.110279;Quercus petraea (Mattuschka) Liebl.;10,8;9,8;32;73,35;26,9;-3,4;30,3;18,3;2,7;19,9;1;782;100;44;23;254;138;250;157;334;230;1
10347;XY.110288;Fraxinus ornus L.;8,9;9,3;30;73,21;24,7;-5,4;30,1;18;0,5;18;-0,8;1016;115;50;25;330;162;330;180;334;330;11
10348;XY.126753;Fraxinus ornus L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;122;646;3
10349;XY.126756;Fraxinus ornus L.;13,4;6,8;27;62,92;26,9;2,5;24,4;14,3;6,1;21,6;5,7;1189;137;75;19;381;254;258;286;331;222;1
10350;XY.126774;Fraxinus ornus L.;12,1;6,8;27;63,07;25,6;1;24,6;13;4,7;20,2;4,2;1243;142;81;18;396;264;274;296;184;386;1
10351;XY.126782;Fraxinus ornus L.;9,7;7,1;28;63,71;23,4;-1,6;25;10,6;2,2;17,9;1,7;1302;144;86;17;407;265;308;293;46;658;7
10352;XY.126784;Fraxinus ornus L.;13,1;6,8;27;63;26,5;2,1;24,4;13,9;5,7;21,2;5,3;1209;138;77;19;386;258;264;291;313;280;2
10353;XY.126807;Fraxinus ornus L.;13,1;6,8;27;63;26,5;2,1;24,4;13,9;5,7;21,2;5,3;1209;138;77;19;386;258;264;291;261;238;1
10354;XY.126817;Fraxinus ornus L.;10,3;6,9;27;63,42;24;-0,8;24,8;11,2;2,9;18,5;2,4;1281;143;86;17;402;265;296;294;228;534;9
10355;XY.126821;Fraxinus ornus L.;13,4;6,8;27;62,75;26,8;2,5;24,3;14,3;6,1;21,6;5,7;1183;136;75;19;379;252;259;283;201;281;2
10356;XY.126843;Fraxinus ornus L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;122;646;3
10357;XY.126866;Fraxinus ornus L.;11,4;6,8;27;63,01;25;0,4;24,6;12,3;4,1;19,6;3,6;1251;141;84;17;395;261;285;290;226;485;7
10358;XY.126882;Fraxinus ornus L.;11,5;6,9;27;63,43;25,1;0,4;24,7;12,4;4,1;19,7;3,6;1252;141;84;18;396;262;283;292;206;585;8
10359;XY.126893;Fraxinus ornus L.;10,3;6,9;27;63,42;24;-0,8;24,8;11,2;2,9;18,5;2,4;1281;143;86;17;402;265;296;294;212;492;7
10360;XY.126899;Fraxinus ornus L.;13;6,8;27;62,73;26,5;2,1;24,4;13,9;5,7;21,2;5,3;1210;139;77;19;387;259;263;291;293;335;4
10361;XY.126942;Fraxinus ornus L.;13;6,8;27;62,73;26,5;2,1;24,4;13,9;5,7;21,2;5,3;1210;139;77;19;387;259;263;291;293;335;4
10362;XY.126997;Fraxinus ornus L.;10,1;6,9;27;63,5;23,8;-1;24,8;11;2,7;18,3;2,2;1284;144;86;17;403;265;298;294;212;492;7
10363;XY.127031;Fraxinus ornus L.;10,6;6,9;27;63,31;24,2;-0,5;24,7;11,5;3,2;18,8;2,7;1269;142;85;17;398;262;294;290;227;612;5
10364;XY.127052;Fraxinus ornus L.;10,2;7,1;28;63,81;24;-1,1;25,1;11;2,7;18,4;2,2;1307;145;87;17;410;269;304;300;198;651;2
10365;XY.127055;Fraxinus ornus L.;9,7;7,1;28;63,71;23,4;-1,6;25;10,6;2,2;17,9;1,7;1302;144;86;17;407;265;308;293;52;847;9
10366;XY.127059;Fraxinus ornus L.;9,7;7,2;28;63,75;23,6;-1,6;25,2;10,5;2,3;18;1,7;1317;146;88;17;412;270;309;300;223;651;3
