;OpisNalazista;OznKoord;NazKlase;Nesigurnost;CELLCODE;EOFORIGIN;NOFORIGIN;Bio_1;Bio_2;Bio_3;Bio_4;Bio_5;Bio_6;Bio_7;Bio_8;Bio_9;Bio_10;Bio_11;Bio_12;Bio_13;Bio_14;Bio_15;Bio_16;Bio_17;Bio_18;Bio_19;ID;GRIDCODE;COUNT;HLSHD2;EKSPOZICIJ;NDM__M_;NAGIB_TERE;tip_opazanja
91;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116890;Carpinus betulus L.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2533;2442;1;202;182;529;7;1
92;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116894;Carpinus betulus L.;25.0000;1kmE4795N2580;4.79500000000e+006;2.58000000000e+006;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;2534;2443;1;195;170;501;5;1
93;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116903;Carpinus betulus L.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2413;2324;1;214;169;627;12;1
94;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116908;Carpinus betulus L.;25.0000;1kmE4793N2581;4.79300000000e+006;2.58100000000e+006;6,8;8,8;30;71,53;22,3;-6,8;29,1;15,8;-1,3;15,8;-2,6;1061;123;55;24;349;175;349;192;2412;2323;1;215;182;649;12;1
95;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116911;Carpinus betulus L.;25.0000;1kmE4793N2581;4.79300000000e+006;2.58100000000e+006;6,8;8,8;30;71,53;22,3;-6,8;29,1;15,8;-1,3;15,8;-2,6;1061;123;55;24;349;175;349;192;2412;2323;1;215;182;649;12;1
96;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116939;Carpinus betulus L.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
97;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116961;Carpinus betulus L.;25.0000;1kmE4795N2582;4.79500000000e+006;2.58200000000e+006;7,3;8,9;30;72,11;22,8;-6,5;29,3;16,3;-0,9;16,3;-2,3;1041;121;54;25;344;170;344;187;2297;2213;1;193;125;782;8;1
98;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116970;Carpinus betulus L.;25.0000;1kmE4795N2582;4.79500000000e+006;2.58200000000e+006;7,3;8,9;30;72,11;22,8;-6,5;29,3;16,3;-0,9;16,3;-2,3;1041;121;54;25;344;170;344;187;2297;2213;1;193;125;782;8;1
99;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116999;Carpinus betulus L.;25.0000;1kmE4797N2577;4.79700000000e+006;2.57700000000e+006;10,1;9,5;31;74,36;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;301;146;301;161;2900;2801;1;183;170;191;0;1
100;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117003;Carpinus betulus L.;25.0000;1kmE4797N2577;4.79700000000e+006;2.57700000000e+006;10,1;9,5;31;74,36;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;301;146;301;161;2900;2801;1;183;170;191;0;1
