IdNalazistaOp;OpisNalazista;OznKoord;IdOpazanja;NazKlase;OznKoord;HTRS96_X;HTRS96_Y;Nesigurnost
298715;Vižanovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116860;15780;Quercus petraea (Mattuschka) Liebl.;XY.116860;473470.1574;5109080.8324;25.0000
298791;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116896;15816;Quercus petraea (Mattuschka) Liebl.;XY.116896;471960.9381;5113870.9492;25.0000
67075;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore NP Plitvička jezera, Nalazište: Mukinje, uz glavnu cestu,  Terenska opažanja: Z. Stančić, Dta.:22.04.2005.;1159.241;1215;Carpinus betulus L.;1159.241;431268.9534;4970213.0816;NULL
129147;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore NP Plitvička jezera, Nalazište: Drakulić Rijeka, neposredna blizina, Lika;1259.222;2621;Carpinus betulus L.;1259.222;432828.1139;4961862.8525;NULL
298361;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116722;15642;Carpinus betulus L.;XY.116722;471163.1781;5114268.9722;25.0000
298383;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116730;15650;Carpinus betulus L.;XY.116730;472862.1310;5113973.3168;25.0000
298401;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116737;15657;Carpinus betulus L.;XY.116737;472938.0931;5114168.3952;25.0000
298446;Degačica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116758;15678;Carpinus betulus L.;XY.116758;473064.2779;5113366.1214;25.0000
298452;Degačica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116760;15680;Carpinus betulus L.;XY.116760;472859.9175;5113475.4137;25.0000
298474;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116766;15686;Carpinus betulus L.;XY.116766;473664.8638;5109064.5952;25.0000
298506;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116779;15699;Carpinus betulus L.;XY.116779;473465.9425;5109765.7408;25.0000
298575;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116808;15728;Carpinus betulus L.;XY.116808;471164.8011;5114673.1424;25.0000
