;OznKoord;NazKlase;Bio_1;Bio_2;Bio_3;Bio_4;Bio_5;Bio_6;Bio_7;Bio_8;Bio_9;Bio_10;Bio_11;Bio_12;Bio_13;Bio_14;Bio_15;Bio_16;Bio_17;Bio_18;Bio_19;EKSPOZICIJ;NDM__M_;NAGIB_TERE
8103;xy.91511;Fagus sylvatica L.;11,2;8,1;30;65,93;26;-0,8;26,8;7,6;6,3;19,7;2,8;1378;158;92;21;453;285;300;339;71;472;8
8104;xy.91515;Fagus sylvatica L.;9,6;8;29;66,74;24,4;-2,5;26,9;6;1,8;18,1;1,1;1377;153;93;18;439;285;317;327;290;493;9
8105;xy.91521;Fagus sylvatica L.;5,5;7,1;28;63,54;19,4;-5,8;25,2;6,4;-1,9;13,7;-2,5;1352;143;85;15;404;268;343;294;86;1259;4
8106;xy.91525;Fagus sylvatica L.;5,3;7,1;28;63,32;19,2;-6;25,2;6,2;-2,1;13,5;-2,6;1350;142;83;16;402;265;348;289;122;1336;5
8107;xy.91530;Fagus sylvatica L.;6,7;7,3;28;64,73;20,9;-4,8;25,7;7,5;-0,9;15;-1,5;1361;146;89;16;413;274;336;303;77;1125;6
8108;xy.91534;Fagus sylvatica L.;11,2;8,1;30;65,93;26;-0,8;26,8;7,6;6,3;19,7;2,8;1378;158;92;21;453;285;300;339;71;472;8
8109;xy.91535;Fagus sylvatica L.;11;8,1;30;66,25;25,8;-1,1;26,9;7,4;5,9;19,5;2,6;1380;158;93;20;452;286;302;339;8;418;1
8110;xy.91542;Fagus sylvatica L.;8,8;8,2;30;67,26;23,7;-3,4;27,1;5;3,9;17,3;-9999;1342;152;91;19;441;287;295;332;342;690;1
8111;xy.91544;Fagus sylvatica L.;8,8;8,2;30;67,38;23,8;-3,4;27,2;5;3,9;17,3;-9999;1345;152;92;19;441;287;297;332;95;656;0
8112;xy.91556;Fagus sylvatica L.;8,7;8,2;30;67,66;23,8;-3,5;27,3;4,9;3,8;17,3;-0,1;1343;152;92;19;440;286;297;331;95;656;0
8113;XY.113183;Carpinus betulus L.;10;9,5;31;74,35;25,9;-4,5;30,4;19,3;1,6;19,3;0,1;931;104;46;25;302;149;302;164;95;209;0
8114;XY.113345;Carpinus betulus L.;9,6;9,2;30;74,25;25,6;-4,6;30,2;18,9;1,2;18,9;-0,2;968;108;49;23;306;159;306;177;352;368;2
8115;XY.113346;Carpinus betulus L.;9,6;9,2;30;74,25;25,6;-4,6;30,2;18,9;1,2;18,9;-0,2;968;108;49;23;306;159;306;177;352;368;2
8116;XY.113356;Carpinus betulus L.;9,9;9,3;30;74,53;25,9;-4,4;30,3;19,2;1,4;19,2;-9999;957;107;48;23;304;156;304;174;266;322;2
8117;XY.103822;Carpinus betulus L.;8;9,1;30;72,52;23,7;-6;29,7;17,1;-0,2;17,1;-1,6;1045;119;53;24;341;169;341;186;167;462;7
8118;XY.103862;Carpinus betulus L.;9,7;9,8;32;73,2;25,8;-4,4;30,2;17,2;1,5;18,8;-0,1;795;104;46;24;261;143;251;161;67;380;2
8119;XY.104113;Carpinus betulus L.;11,4;10,5;33;74,85;28,1;-3;31,1;19;3;20,7;1,4;761;92;46;19;239;150;225;169;111;81;0
8120;XY.104114;Carpinus betulus L.;11,4;10,5;33;74,82;28;-3,1;31,1;18,9;2,9;20,6;1,4;760;92;46;19;240;149;226;168;262;84;0
8121;XY.104118;Carpinus betulus L.;11,3;10,4;33;75,12;28,1;-3,1;31,2;19;2,8;20,6;1,3;748;91;45;19;236;147;222;166;210;92;0
8122;XY.104119;Carpinus betulus L.;11,4;10,5;33;74,98;28,1;-3,1;31,2;19;2,9;20,6;1,3;756;92;46;19;239;148;225;167;186;89;0
8123;XY.104131;Carpinus betulus L.;11,5;10,5;33;74,66;28,1;-2,9;31;19;3;20,7;1,5;762;92;46;19;240;150;226;170;132;93;0
8124;XY.104132;Carpinus betulus L.;11,3;10,4;33;75,58;28,1;-3,1;31,2;19;2,7;20,6;1,2;731;90;44;20;232;143;218;161;261;90;0
8125;XY.104135;Carpinus betulus L.;11,4;10,4;33;74,74;28,1;-3;31,1;18,9;2,9;20,6;1,4;738;90;44;20;234;144;221;164;98;92;0
8126;XY.104136;Carpinus betulus L.;11,4;10,4;33;74,85;28,1;-3;31,1;18,9;2,9;20,6;1,4;738;90;44;20;234;144;221;164;45;87;0
8127;XY.104147;Carpinus betulus L.;11,4;10,5;33;75,81;28,3;-3,2;31,5;19,1;2,8;20,7;1,3;733;89;44;19;231;144;217;162;327;76;0
8128;XY.104150;Carpinus betulus L.;11,3;10,5;33;74,81;28;-3,1;31,1;18,9;2,9;20,6;1,3;772;93;47;19;243;151;229;170;177;93;0
8129;XY.104151;Carpinus betulus L.;11,4;10,5;33;74,92;28;-3,1;31,1;18,9;2,9;20,6;1,3;767;93;46;19;242;150;228;170;141;94;0
8130;XY.104156;Carpinus betulus L.;11,4;10,4;33;74,61;28,1;-2,9;31;18,9;3;20,6;1,4;741;90;45;19;235;146;221;165;233;91;0
8131;XY.104165;Carpinus betulus L.;11,4;10,5;33;74,29;28;-2,9;30,9;19;3;20,6;1,5;766;92;46;19;242;150;228;170;29;86;0
8132;XY.104174;Carpinus betulus L.;11,4;10,4;33;74,62;28,1;-2,9;31;18,9;3;20,6;1,4;739;90;44;20;235;144;221;164;220;91;0
8133;XY.104195;Carpinus betulus L.;10,8;9,4;31;74,05;27,1;-3,2;30,3;20,1;2,4;20,1;1,1;1000;106;53;20;294;172;294;194;190;173;1
8134;XY.104241;Carpinus betulus L.;9;9,3;30;73,68;24,8;-5,3;30,1;18,2;0,6;18,2;-0,8;966;110;48;26;320;154;320;169;24;456;8
8135;XY.104297;Carpinus betulus L.;10,8;9,4;30;74,08;27;-3,4;30,4;20,1;2,4;20,1;1;995;106;52;21;298;168;298;189;281;201;0
8136;XY.104696;Carpinus betulus L.;8,5;9,2;30;73,29;24,3;-5,6;29,9;17,7;0,2;17,7;-1,1;1023;116;51;25;333;164;333;181;167;462;7
8137;XY.104904;Carpinus betulus L.;9,1;9,4;31;73,34;25;-5,2;30,2;18,3;0,8;18,3;-0,6;966;111;47;27;323;150;323;165;339;294;0
8138;XY.104910;Carpinus betulus L.;9,4;9,3;30;73,54;25,3;-4,9;30,2;18,6;1;18,6;-0,4;986;111;49;25;320;157;320;174;18;336;2
8139;XY.104952;Carpinus betulus L.;7,8;9,1;30;72,39;23,4;-6,2;29,6;16,9;-0,4;16,9;-1,8;1032;120;51;26;345;164;345;179;297;487;6
8140;XY.104957;Carpinus betulus L.;7,9;9,1;30;72,73;23,6;-6,2;29,8;17;-0,4;17;-1,8;1030;119;51;26;343;164;343;179;211;641;7
8141;XY.116433;Carpinus betulus L.;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;170;501;5
8142;XY.116449;Carpinus betulus L.;10;9,5;31;74,41;25,9;-4,5;30,4;19,3;1,6;19,3;0,1;928;104;46;25;302;149;302;164;52;211;0
8143;XY.116450;Carpinus betulus L.;10;9,5;31;74,47;26;-4,4;30,4;19,3;1,6;19,3;0,1;927;104;46;25;302;148;302;164;52;211;0
8144;XY.114150;Carpinus betulus L.;10,6;9;31;70,1;26,2;-2,6;28,8;6,4;2,5;19,4;1,4;1211;134;78;18;382;242;292;280;240;403;3
8145;XY.114153;Carpinus betulus L.;10,6;9;31;70,1;26,2;-2,6;28,8;6,4;2,5;19,4;1,4;1211;134;78;18;382;242;292;280;240;403;3
8146;XY.114216;Carpinus betulus L.;11;9,1;31;70,1;26,7;-2,3;29;6,9;2,9;19,8;1,8;1191;132;76;18;376;237;287;275;264;222;6
8147;XY.114217;Carpinus betulus L.;11;9,1;31;70,1;26,7;-2,3;29;6,9;2,9;19,8;1,8;1191;132;76;18;376;237;287;275;264;222;6
8148;XY.114218;Carpinus betulus L.;11;9,1;31;70,1;26,7;-2,3;29;6,9;2,9;19,8;1,8;1191;132;76;18;376;237;287;275;264;222;6
8149;XY.114269;Carpinus betulus L.;11,3;9,1;31;68,6;26,8;-1,7;28,5;7,3;6,5;20;2,3;1224;141;81;21;405;251;270;299;354;242;1
8150;XY.114299;Carpinus betulus L.;10,2;7,1;28;63,99;24;-1;25;11,1;2,8;18,5;2,3;1279;141;84;17;398;258;306;285;119;668;0
8151;XY.114320;Carpinus betulus L.;10,6;9;31;70,1;26,2;-2,6;28,8;6,4;2,5;19,4;1,4;1211;134;78;18;382;242;292;280;240;403;3
8152;xy.91557;Fagus sylvatica L.;8,7;8,2;30;67,66;23,8;-3,5;27,3;4,9;3,8;17,3;-0,1;1343;152;92;19;440;286;297;331;52;706;2
8153;xy.91572;Fagus sylvatica L.;9,6;8,5;30;67,73;24,8;-2,9;27,7;5,8;4,8;18,2;0,8;1319;151;89;20;437;279;287;328;51;561;4
8154;xy.91650;Fagus sylvatica L.;7,5;7,5;28;65,26;21,8;-4,2;26;4;-0,1;15,9;-0,8;1369;149;92;17;425;280;327;314;55;1062;6
8155;xy.91681;Fagus sylvatica L.;8;7,6;28;65,89;22,5;-3,8;26,3;4,5;0,3;16,5;-0,4;1372;149;93;17;429;283;324;319;125;720;4
8156;xy.91686;Fagus sylvatica L.;6;7,2;28;64,11;20;-5,5;25,5;2,6;-1,5;14,2;-2,2;1357;145;87;16;409;272;339;300;177;1169;6
8157;xy.91687;Fagus sylvatica L.;6,8;7,3;28;64,74;20,9;-4,7;25,6;3,4;-0,8;15,1;-1,4;1362;146;89;16;415;274;335;304;334;1102;4
8158;xy.91688;Fagus sylvatica L.;5,3;7;27;63,31;19,1;-6;25,1;6,2;-2,2;13,4;-2,7;1353;143;85;15;403;268;345;294;176;1301;4
8159;xy.91693;Fagus sylvatica L.;6,8;7,3;28;64,66;20,9;-4,7;25,6;7,6;-0,8;15,1;-1,4;1360;146;89;16;413;274;335;303;64;1094;6
8160;xy.91695;Fagus sylvatica L.;6,8;7,3;28;64,73;20,9;-4,7;25,6;3,4;-0,8;15,1;-1,4;1361;146;89;16;414;274;335;304;359;1096;4
8161;xy.91709;Fagus sylvatica L.;6,1;7,2;28;64,21;20,1;-5,3;25,4;2,8;-1,4;14,4;-2;1356;145;87;16;410;272;338;300;177;1169;6
8162;xy.91710;Fagus sylvatica L.;6,1;7,2;28;64,21;20,1;-5,3;25,4;2,8;-1,4;14,4;-2;1356;145;87;16;410;272;338;300;150;1077;3
8163;xy.91713;Fagus sylvatica L.;6;7,2;28;64,11;20;-5,5;25,5;2,6;-1,5;14,2;-2,2;1357;145;87;16;409;272;339;300;177;1169;6
8164;xy.91866;Fagus sylvatica L.;7,8;8,5;30;68,15;23,1;-4,5;27,6;4;16;16,5;-1,1;1278;150;81;21;428;262;268;333;286;735;0
8165;xy.91868;Fagus sylvatica L.;7,6;8,3;30;68,25;22,8;-4,7;27,5;3,8;15,7;16,2;-1,4;1294;151;82;20;432;266;273;336;329;812;2
8166;xy.91900;Fagus sylvatica L.;7,7;8,4;30;68,48;22,8;-4,7;27,5;3,9;15,8;16,3;-1,4;1293;151;82;20;432;266;272;336;106;859;0
8167;xy.91907;Fagus sylvatica L.;7,8;8,4;30;68,26;23;-4,6;27,6;4;15,9;16,4;-1,2;1283;151;81;21;431;262;268;335;331;748;1
8168;XY.91935;Fagus sylvatica L.;7,8;7,6;28;65,83;22,3;-4;26,3;4,2;0,1;16,2;-0,6;1372;149;92;17;427;281;327;316;133;883;7
8169;xy.91946;Fagus sylvatica L.;10,4;8;29;66,11;25,1;-1,6;26,7;6,8;5,4;18,9;2;1383;156;94;19;447;289;308;335;78;760;10
8170;xy.91949;Fagus sylvatica L.;7;7,4;28;65,14;21,3;-4,5;25,8;3,6;-0,6;15,4;-1,2;1364;147;91;16;419;277;331;309;146;893;10
8171;xy.91950;Fagus sylvatica L.;6;7,2;28;63,89;19,9;-5,4;25,3;2,7;-1,5;14,2;-2,1;1355;144;87;16;408;271;339;299;101;1264;1
8172;XY.92650;Fagus sylvatica L.;9,4;9;30;71,9;25,3;-4;29,3;9,9;1,2;18,5;-9999;1154;118;69;17;340;215;312;245;163;310;4
8173;xy.92774;Fagus sylvatica L.;9,4;8,6;31;66,52;24,6;-2,8;27,4;5,9;17,9;17,9;0,8;1210;153;65;28;436;216;216;339;232;579;8
8174;xy.93529;Fagus sylvatica L.;8,5;8,2;30;67,07;23,5;-3,6;27,1;5;17;17;-0,2;1255;156;70;26;446;230;230;349;102;716;12
8175;xy.93537;Fagus sylvatica L.;4,8;6,7;26;64,26;18,6;-6,4;25;1,5;12,6;13;-3,4;1276;147;85;18;414;272;281;321;187;1096;16
8176;xy.93550;Fagus sylvatica L.;8,5;8,2;30;66,83;23,5;-3,6;27,1;5;17;17;-0,3;1254;156;70;26;446;230;230;348;191;774;19
8177;xy.93576;Fagus sylvatica L.;8,5;8,2;30;66,69;23,5;-3,6;27,1;5;17;17;-0,2;1244;155;69;26;442;229;229;345;295;772;2
8178;xy.93688;Fagus sylvatica L.;8;8,4;30;68,53;23,2;-4,4;27,6;4,1;16,1;16,6;-1,1;1307;151;85;20;434;275;279;335;27;745;4
8179;xy.93695;Fagus sylvatica L.;7,7;8,3;30;68,33;22,8;-4,7;27,5;3,9;15,8;16,3;-1,3;1312;152;85;20;436;274;280;337;54;819;3
8180;xy.93707;Fagus sylvatica L.;7,7;8,3;30;68,33;22,8;-4,7;27,5;3,9;15,8;16,3;-1,3;1312;152;85;20;436;274;280;337;29;788;1
8181;xy.93711;Fagus sylvatica L.;7,8;8,3;30;68,36;22,9;-4,5;27,4;4;15,9;16,4;-1,2;1311;152;85;20;435;274;280;336;224;735;1
8182;xy.93721;Fagus sylvatica L.;7,2;8,1;29;68,18;22,2;-5,1;27,3;3,4;15,3;15,8;-1,8;1322;152;86;19;436;278;285;337;127;875;0
8183;xy.93723;Fagus sylvatica L.;5,1;6,7;26;64,1;18,9;-6,1;25;1,9;-2,5;13,3;-3,1;1328;149;92;17;423;288;299;322;5;1300;1
8184;xy.93740;Fagus sylvatica L.;10,9;8,9;31;67,82;26,3;-1,7;28;7;6,1;19,5;2,1;1272;149;82;22;430;267;267;322;72;444;9
8185;xy.93763;Fagus sylvatica L.;10,3;8,7;31;67,77;25,6;-2,2;27,8;6,5;19;19;1,5;1295;152;83;22;438;271;271;329;69;615;12
8186;xy.93800;Fagus sylvatica L.;6,9;7,9;29;67,74;21,7;-5,2;26,9;3,2;15;15,4;-2;1330;153;86;20;440;278;285;341;190;950;5
8187;xy.93809;Fagus sylvatica L.;6,4;7;27;64,82;20,5;-5;25,5;3,1;14,7;14,7;-1,9;1341;153;91;19;437;292;292;332;320;1250;7
8188;xy.93839;Fagus sylvatica L.;7,8;8,3;30;68,27;23;-4,6;27,6;4;15,9;16,4;-1,2;1311;155;81;21;444;264;268;345;67;794;6
8189;xy.93844;Ambrosia artemisiifolia L.;7,9;8,4;30;68,28;23;-4,5;27,5;4,1;16;16,5;-1,1;1302;154;80;22;442;262;266;344;205;767;1
8190;xy.93853;Fagus sylvatica L.;8,1;8,5;30;68,36;23,4;-4,3;27,7;4,3;16,2;16,7;-0,9;1281;152;79;22;434;258;262;338;88;758;3
8191;xy.93872;Fagus sylvatica L.;8,7;8,7;30;68,63;24,1;-4;28,1;4,8;16,8;17,3;-0,4;1267;149;80;21;427;260;263;330;253;624;1
8192;xy.93884;Fagus sylvatica L.;7,3;8,2;30;68,07;22,4;-4,9;27,3;3,6;15,4;15,9;-1,6;1299;152;82;20;434;266;273;338;350;854;2
8193;xy.93885;Fagus sylvatica L.;8,6;8,7;31;68,57;24;-4;28;4,7;16,7;17,2;-0,5;1265;149;80;21;426;259;263;330;331;645;1
8194;xy.93886;Ambrosia artemisiifolia L.;8,5;8,7;31;68,42;23,8;-4;27,8;4,6;16,6;17,1;-0,5;1271;150;80;21;429;260;264;332;345;691;2
8195;xy.93889;Ambrosia artemisiifolia L.;7,3;8,2;30;68,07;22,4;-4,9;27,3;3,6;15,4;15,9;-1,6;1299;152;82;20;434;266;273;338;350;854;2
8196;xy.93891;Fagus sylvatica L.;7,3;8,2;30;68,07;22,4;-4,9;27,3;3,6;15,4;15,9;-1,6;1299;152;82;20;434;266;273;338;23;758;7
8197;xy.93899;Fagus sylvatica L.;7;8,1;29;67,84;22;-5,2;27,2;3,3;15,1;15,6;-1,9;1301;152;83;20;433;268;276;337;318;934;8
8198;xy.93902;Fagus sylvatica L.;7,7;8,4;30;68,2;22,9;-4,6;27,5;3,9;15,8;16,3;-1,3;1286;151;82;21;431;264;271;334;256;764;1
8199;xy.93909;Fagus sylvatica L.;8;8,5;30;68,38;23,3;-4,4;27,7;4,2;16,1;16,6;-1;1281;151;80;21;432;260;265;336;184;683;2
8200;xy.93927;Ambrosia artemisiifolia L.;8,2;8,6;31;68,24;23,5;-4,2;27,7;4,4;16,3;16,8;-0,8;1278;152;79;22;434;257;262;338;88;758;3
8201;xy.93966;Fagus sylvatica L.;7,3;8,2;30;67,9;22,4;-4,9;27,3;3,6;15,4;15,9;-1,6;1321;154;83;21;443;270;276;343;3;894;4
8202;XY.126465;Fraxinus ornus L.;11,5;6,9;27;63,5;25,1;0,4;24,7;12,4;4,1;19,7;3,6;1263;143;84;18;400;266;282;298;235;433;7
8203;XY.126469;Fraxinus ornus L.;13,3;6,8;28;62,61;26,6;2,4;24,2;14,1;6;21,4;5,5;1191;137;75;19;381;254;260;285;331;222;1
8204;XY.126471;Fraxinus ornus L.;13,1;6,7;27;63,03;26,6;2,2;24,4;13,9;5,8;21,3;5,3;1191;137;76;19;381;253;261;284;260;271;1
8205;XY.126483;Fraxinus ornus L.;10,3;6,9;27;63,42;24;-0,8;24,8;11,2;2,9;18,5;2,4;1281;143;86;17;402;265;296;294;204;703;4
8206;XY.126497;Fraxinus ornus L.;11,3;6,9;27;63,41;24,9;0,2;24,7;12,2;3,9;19,5;3,4;1261;142;85;17;398;264;286;294;203;337;8
8207;XY.126498;Fraxinus ornus L.;12,4;6,8;27;62,89;25,8;1,4;24,4;13,3;5;20,5;4,6;1232;140;80;18;392;261;273;292;203;337;8
8208;XY.126506;Fraxinus ornus L.;8,6;7;28;63,49;22,3;-2,7;25;9,5;1,2;16,8;0,6;1303;143;85;16;403;261;317;286;46;658;7
8209;XY.126536;Fraxinus ornus L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;122;646;3
8210;XY.126538;Fraxinus ornus L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;122;646;3
8211;XY.126562;Fraxinus ornus L.;10,3;7,2;28;63,85;24,2;-1;25,2;11,1;2,9;18,6;2,3;1310;146;87;17;412;269;304;301;167;717;0
8212;XY.126563;Fraxinus ornus L.;11,5;6,9;27;63,5;25,1;0,4;24,7;12,4;4,1;19,7;3,6;1263;143;84;18;400;266;282;298;235;433;7
8213;XY.126565;Fraxinus ornus L.;9,8;7,1;28;63,74;23,6;-1,5;25,1;10,6;2,4;18,1;1,8;1300;144;86;17;406;264;308;293;32;792;8
8214;XY.126573;Fraxinus ornus L.;11,5;6,9;27;63,5;25,1;0,4;24,7;12,4;4,1;19,7;3,6;1263;143;84;18;400;266;282;298;212;492;7
8215;XY.126574;Fraxinus ornus L.;9,7;7,1;28;63,87;23,6;-1,6;25,2;10,5;2,3;18;1,7;1309;145;87;17;409;267;309;296;167;717;0
8216;XY.126575;Fraxinus ornus L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;NA;NA;NA
8217;XY.126583;Fraxinus ornus L.;11,5;6,9;27;63,43;25,1;0,4;24,7;12,4;4,1;19,7;3,6;1252;141;84;18;396;262;283;292;221;394;8
8218;XY.126595;Fraxinus ornus L.;10,3;6,9;27;63,42;24;-0,8;24,8;11,2;2,9;18,5;2,4;1281;143;86;17;402;265;296;294;228;534;9
8219;XY.126609;Fraxinus ornus L.;13;6,8;27;62,73;26,5;2,1;24,4;13,9;5,7;21,2;5,3;1210;139;77;19;387;259;263;291;262;263;2
8220;XY.126617;Fraxinus ornus L.;13,1;6,8;27;63;26,5;2,1;24,4;13,9;5,7;21,2;5,3;1209;138;77;19;386;258;264;291;313;280;2
8221;XY.126646;Fraxinus ornus L.;10,6;6,9;27;63,31;24,2;-0,5;24,7;11,5;3,2;18,8;2,7;1269;142;85;17;398;262;294;290;227;612;5
8222;XY.126647;Fraxinus ornus L.;11,9;6,9;27;63,28;25,5;0,8;24,7;12,7;4,5;20,1;4;1252;142;83;18;398;263;280;295;235;433;7
8223;XY.126660;Fraxinus ornus L.;10,6;6,9;27;63,27;24,3;-0,4;24,7;11,5;3,3;18,8;2,8;1273;143;85;17;400;263;293;293;213;375;8
8224;XY.126669;Fraxinus ornus L.;8,6;7;28;63,49;22,3;-2,7;25;9,5;1,2;16,8;0,6;1303;143;85;16;403;261;317;286;32;792;8
8225;XY.126672;Fraxinus ornus L.;10,1;7,1;28;63,9;24;-1,2;25,2;10,9;2,7;18,4;2,1;1306;144;87;17;408;268;307;298;168;634;1
8226;XY.126681;Quercus petraea (Mattuschka) Liebl.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;122;646;3
8227;XY.114448;Fraxinus ornus L.;10,2;6,9;27;63,59;23,8;-1;24,8;11,1;2,8;18,4;2,2;1286;144;86;17;404;265;299;294;17;518;4
8228;XY.114478;Fraxinus ornus L.;9,5;7;28;63,12;23,2;-1,7;24,9;10,4;2,2;17,7;1,6;1298;144;86;17;405;265;307;293;227;764;11
8229;XY.114484;Fraxinus ornus L.;10,6;6,9;27;63,18;24,2;-0,5;24,7;11,4;3,2;18,8;2,7;1288;145;86;17;406;268;294;298;271;678;2
8230;XY.114485;Fraxinus ornus L.;10,2;6,9;27;63,47;23,9;-0,9;24,8;11,1;2,8;18,4;2,3;1284;143;86;17;402;265;299;294;204;703;4
8231;XY.114488;Fraxinus ornus L.;10,2;6,9;27;63,47;23,9;-0,9;24,8;11,1;2,8;18,4;2,3;1284;143;86;17;402;265;299;294;38;678;4
8232;XY.114508;Quercus petraea (Mattuschka) Liebl.;11;9,1;31;70,1;26,7;-2,3;29;6,9;2,9;19,8;1,8;1191;132;76;18;376;237;287;275;316;214;0
8233;XY.114509;Quercus petraea (Mattuschka) Liebl.;11,5;9,3;31;69,82;27,3;-1,8;29,1;7,4;6,7;20,4;2,4;1173;131;75;19;372;233;280;272;316;214;0
8234;XY.114514;Quercus petraea (Mattuschka) Liebl.;11,5;9,3;31;69,82;27,3;-1,8;29,1;7,4;6,7;20,4;2,4;1173;131;75;19;372;233;280;272;316;214;0
8235;XY.114514;Quercus petraea (Mattuschka) Liebl.;11,5;9,3;31;69,82;27,3;-1,8;29,1;7,4;6,7;20,4;2,4;1173;131;75;19;372;233;280;272;316;214;0
8236;XY.114515;Quercus petraea (Mattuschka) Liebl.;11,5;9,3;31;69,82;27,3;-1,8;29,1;7,4;6,7;20,4;2,4;1173;131;75;19;372;233;280;272;316;214;0
8237;XY.114545;Quercus petraea (Mattuschka) Liebl.;11,3;9,2;32;68,93;26,9;-1,7;28,6;7,2;6,5;20;2,3;1217;140;81;21;403;250;268;299;337;210;0
8238;XY.114554;Quercus petraea (Mattuschka) Liebl.;11,3;9,2;32;68,93;26,9;-1,7;28,6;7,2;6,5;20;2,3;1217;140;81;21;403;250;268;299;337;210;0
8239;XY.114558;Quercus petraea (Mattuschka) Liebl.;11,3;9,2;32;68,93;26,9;-1,7;28,6;7,2;6,5;20;2,3;1217;140;81;21;403;250;268;299;75;210;1
8240;XY.114559;Quercus petraea (Mattuschka) Liebl.;11,3;9,2;32;68,93;26,9;-1,7;28,6;7,2;6,5;20;2,3;1217;140;81;21;403;250;268;299;337;210;0
8241;XY.114568;Quercus petraea (Mattuschka) Liebl.;11,3;9,1;31;68,6;26,9;-1,7;28,6;7,4;6,6;20,1;2,4;1217;141;81;21;404;250;267;299;337;210;0
8242;XY.110292;Fraxinus ornus L.;8,5;7,5;28;65,22;22,8;-3,1;25,9;5,1;0,8;16,8;0,2;1370;155;93;19;447;294;300;335;106;857;1
8243;XY.110302;Fraxinus ornus L.;10,3;7,8;30;64,85;24,7;-1,3;26;6,9;18,7;18,7;2,1;1370;160;87;22;462;282;282;348;240;569;12
8244;xy.91511;Carpinus betulus L.;11,2;8,1;30;65,93;26;-0,8;26,8;7,6;6,3;19,7;2,8;1378;158;92;21;453;285;300;339;71;472;8
8245;xy.91515;Carpinus betulus L.;9,6;8;29;66,74;24,4;-2,5;26,9;6;1,8;18,1;1,1;1377;153;93;18;439;285;317;327;290;493;9
8246;xy.91534;Carpinus betulus L.;11,2;8,1;30;65,93;26;-0,8;26,8;7,6;6,3;19,7;2,8;1378;158;92;21;453;285;300;339;71;472;8
8247;xy.91535;Carpinus betulus L.;11;8,1;30;66,25;25,8;-1,1;26,9;7,4;5,9;19,5;2,6;1380;158;93;20;452;286;302;339;8;418;1
8248;xy.91542;Carpinus betulus L.;8,8;8,2;30;67,26;23,7;-3,4;27,1;5;3,9;17,3;-9999;1342;152;91;19;441;287;295;332;342;690;1
8249;xy.91544;Carpinus betulus L.;8,8;8,2;30;67,38;23,8;-3,4;27,2;5;3,9;17,3;-9999;1345;152;92;19;441;287;297;332;95;656;0
8250;xy.91557;Carpinus betulus L.;8,7;8,2;30;67,66;23,8;-3,5;27,3;4,9;3,8;17,3;-0,1;1343;152;92;19;440;286;297;331;52;706;2
8251;xy.91591;Carpinus betulus L.;10,9;8,9;31;68,3;26,3;-1,8;28,1;7;6,1;19,6;2;1265;147;83;21;424;264;271;316;121;319;0
8252;xy.91617;Carpinus betulus L.;13,1;9,6;34;65,28;28,5;0,3;28,2;9,6;21,5;21,5;4,8;987;132;51;30;365;171;171;280;226;167;5
8253;XY.92650;Carpinus betulus L.;9,4;9;30;71,9;25,3;-4;29,3;9,9;1,2;18,5;-9999;1154;118;69;17;340;215;312;245;163;310;4
8254;xy.93696;Carpinus betulus L.;10,8;8,9;31;67,74;26,2;-1,8;28;6,9;19,4;19,4;2;1276;150;81;22;432;266;266;324;70;346;7
8255;xy.93737;Carpinus betulus L.;10,9;8,9;31;67,82;26,3;-1,7;28;7;6,1;19,5;2,1;1272;149;82;22;430;267;267;322;72;444;9
8256;xy.93740;Carpinus betulus L.;10,9;8,9;31;67,82;26,3;-1,7;28;7;6,1;19,5;2,1;1272;149;82;22;430;267;267;322;72;444;9
8257;xy.93747;Carpinus betulus L.;10,8;8,8;31;67,7;26,2;-1,8;28;7;6;19,4;2;1274;149;82;22;430;268;268;322;72;444;9
8258;xy.93763;Carpinus betulus L.;10,3;8,7;31;67,77;25,6;-2,2;27,8;6,5;19;19;1,5;1295;152;83;22;438;271;271;329;69;615;12
8259;xy.93844;Carpinus betulus L.;7,9;8,4;30;68,28;23;-4,5;27,5;4,1;16;16,5;-1,1;1302;154;80;22;442;262;266;344;205;767;1
8260;xy.93884;Carpinus betulus L.;7,3;8,2;30;68,07;22,4;-4,9;27,3;3,6;15,4;15,9;-1,6;1299;152;82;20;434;266;273;338;350;854;2
8261;xy.93920;Carpinus betulus L.;8,1;8,5;30;68,24;23,4;-4,4;27,8;4,2;16,1;16,7;-1;1283;150;82;20;429;265;270;334;51;743;2
8262;xy.93981;Carpinus betulus L.;7,4;8,2;29;68,29;22,5;-4,9;27,4;3,6;15,5;16;-1,6;1312;153;83;20;439;269;276;340;299;849;3
8263;xy.94008;Carpinus betulus L.;7,4;8,2;29;68,09;22,5;-4,9;27,4;3,7;15,5;16;-1,6;1316;154;83;21;441;270;275;342;292;789;0
